time,node_name,cpu,mem,node_failure,node_energy,node_sec,freshness,compliance,portability,link_id,link_failure,node_net_failure,ebw,ibw,latency,uid_visits,uid_location,zone,node_degree,path_length,link_energy,node_net_energy
2023-11-03 14:09:08.357892,k8s-master,3.4538453532644446,13972697088,1,5262603.584207955,High,149244.1333333333,-0.47324259325114826,160604.88553182152,link_node_k8s-worker-1; link_node_k8s-worker-2; link_node_k8s-worker-3; link_node_k8s-worker-4,0,0,887442.7333333332,-50321751980,160624,1;1;2;2;1,40.39837450521084;-3.7299506325078573,eu-west-1c,104,0.8,41600.0,89.81309801436801
2023-11-03 14:09:08.357892,k8s-worker-1,1.512067977777704,1273106432,1,400542.5246204048,High,40708.2,0.3163099935512223,166376.69899145648,link_node_k8s-master,0,0,175861.2222222222,-3935536174,166396,2;1;1;0;0,40.443842332492984;-3.6796522343022287,eu-west-1c,24,1.4,2880.0,94.21252938540202
2023-11-03 14:09:08.357892,k8s-worker-2,1.2345663555552453,1286017024,1,487451.0128577973,High,28746.311111111107,0.42604906992467184,166390.3833181898,link_node_k8s-master,0,0,127998.15555555555,-4066837375,166410,1;1;2;0;0,40.42088970000722;-3.6821392930512267,eu-west-1c,24,1.4,2880.0,65.01940781980014
2023-11-03 14:09:08.357892,k8s-worker-3,4.403654526600274,2752151552,1,963048.4776157502,Low,47339.666666666664,0.3041213441827061,166391.2249556921,link_node_k8s-master,0,0,207088.26666666663,40334047171,166412,1;1;1;2;0,40.400549624985146;-3.702234501921163,eu-west-1c,24,1.4,2880.0,96.44799373293438
2023-11-03 14:09:08.357892,k8s-worker-4,3.4342438222228737,2702897152,1,914584.5563880991,High,105159.99999999999,0.7324864734906409,166390.43494058595,link_node_k8s-master,0,0,454443.39999999997,-52657075414,166410,1;1;1;1;2,40.39974929156872;-3.723992426495066,eu-west-1c,24,1.4,2880.0,80.76103649039246
2023-11-03 14:09:10.386055,k8s-master,3.4538453532644433,13972697088,1,4057497.5389168276,High,149244.1333333333,0.9431730976259793,160605.26407373152,link_node_k8s-worker-1; link_node_k8s-worker-2; link_node_k8s-worker-3; link_node_k8s-worker-4,0,0,887442.7333333332,-50321751980,160624,1;1;2;2;1,40.39837450521084;-3.7299506325078573,eu-west-1c,104,0.8,41600.0,89.81309801436801
2023-11-03 14:09:10.386055,k8s-worker-1,1.512067977777704,1273106432,1,346408.17181913997,High,40708.2,1.107709975641955,166375.53351880537,link_node_k8s-master,0,0,175861.2222222222,-3935536174,166396,2;1;1;0;0,40.443842332492984;-3.6796522343022287,eu-west-1c,24,1.4,2880.0,94.21252938540202
2023-11-03 14:09:10.386055,k8s-worker-2,1.2345663555552453,1286017024,1,395270.1778067331,High,28746.311111111107,0.4165953089832841,166390.64873512543,link_node_k8s-master,0,0,127998.15555555555,-4066837375,166410,2;0;2;0;1,40.39412457435982;-3.706107680088411,eu-west-1c,24,1.4,2880.0,64.49803216903837
2023-11-03 14:09:10.386055,k8s-worker-3,4.403654526600272,2752151552,1,642296.3647007945,Low,47339.666666666664,-0.5394765304062219,166391.7490910052,link_node_k8s-master,0,0,207088.26666666663,40334047171,166412,2;1;0;2;1,40.43231035391726;-3.709001345545083,eu-west-1c,24,1.4,2880.0,90.98677543869904
2023-11-03 14:09:10.386055,k8s-worker-4,3.4342438222228737,2702897152,1,769272.9600244878,High,105159.99999999999,0.3608082609963257,166390.1470123219,link_node_k8s-master,0,0,454443.39999999997,-52657075414,166410,1;1;1;1;2,40.39974929156872;-3.723992426495066,eu-west-1c,24,1.4,2880.0,80.76103649039246
